password,last_login,is_superuser,user_id,email,date_of_birth,gender_id,department_id,is_staff,is_active,is_admin,created_at,updated_at,login_streak,name
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-13 08:05:06.619572+02,False,20,kate.hall@sgh.com.sg,1961-12-08,2,3,True,True,False,2024-01-01 20:00:00,2024-09-11 20:00:00,4,Kate Hall
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-21 18:42:14.098183+02,False,21,liam.young@sgh.com.sg,1973-02-25,1,5,True,True,False,2024-01-01 21:00:00,2024-09-12 21:00:00,3,Liam Young
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-16 14:25:35.833066+02,False,22,mia.king@sgh.com.sg,1983-05-11,1,5,True,True,False,2024-01-01 22:00:00,2024-09-13 22:00:00,5,Mia King
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-24 19:20:49.488021+02,False,23,noah.scott@sgh.com.sg,1970-03-30,2,4,True,True,False,2024-01-01 23:00:00,2024-09-14 23:00:00,4,Noah Scott
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-27 09:49:20.56519+02,False,24,olivia.adams@sgh.com.sg,1975-07-21,2,4,True,True,False,2024-01-01 00:00:00,2024-09-15 00:00:00,3,Olivia Adams
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-29 08:08:02.90476+02,False,25,paul.clark@sgh.com.sg,1989-09-14,1,4,True,True,False,2024-01-01 01:00:00,2024-09-16 01:00:00,5,Paul Clark
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-12 12:33:02.956434+02,False,26,quinn.lewis@sgh.com.sg,1982-02-17,2,4,True,True,False,2024-01-01 02:00:00,2024-09-17 02:00:00,6,Quinn Lewis
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,,False,27,ryan.walker@sgh.com.sg,1987-06-03,1,2,True,True,False,2024-01-01 03:00:00,2024-09-18 03:00:00,2,Ryan Walker
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-25 09:31:26.951988+03,False,28,sophia.martinez@sgh.com.sg,1967-04-29,1,4,True,True,False,2024-01-01 04:00:00,2024-09-19 04:00:00,4,Sophia Martinez
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-13 08:05:06.619572+03,False,29,tyler.harris@sgh.com.sg,1958-10-04,1,4,True,True,False,2024-01-01 05:00:00,2024-09-20 05:00:00,1,Tyler Harris
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-21 18:42:14.098183+03,False,30,uma.johnson@sgh.com.sg,1962-08-16,1,2,True,True,False,2024-01-01 06:00:00,2024-09-21 06:00:00,3,Uma Johnson
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-25 09:31:26.951988+02,False,31,victor.stone@sgh.com.sg,1992-11-07,1,4,True,True,False,2024-01-01 07:00:00,2024-09-22 07:00:00,5,Victor Stone
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-13 08:05:06.619572+02,False,32,wendy.brooks@sgh.com.sg,1956-01-26,1,4,True,True,False,2024-01-01 08:00:00,2024-09-23 08:00:00,4,Wendy Brooks
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-21 18:42:14.098183+02,False,33,xander.knight@sgh.com.sg,1976-05-10,2,4,True,True,False,2024-01-01 09:00:00,2024-09-24 09:00:00,6,Xander Knight
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-16 14:25:35.833066+02,False,34,yara.collins@sgh.com.sg,1978-03-06,2,4,True,True,False,2024-01-01 10:00:00,2024-09-25 10:00:00,2,Yara Collins
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-24 19:20:49.488021+02,False,35,zachary.evans@sgh.com.sg,1972-09-14,1,5,True,True,False,2024-01-01 11:00:00,2024-09-26 11:00:00,3,Zachary Evans
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-27 09:49:20.56519+02,False,36,ava.baker@sgh.com.sg,1990-04-28,1,4,True,True,False,2024-01-01 12:00:00,2024-09-27 12:00:00,4,Ava Baker
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-08-29 08:08:02.90476+02,False,37,benjamin.wright@sgh.com.sg,1966-12-20,2,2,True,True,False,2024-01-01 13:00:00,2024-09-28 13:00:00,2,Benjamin Wright
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-12 12:33:02.956434+02,False,38,chloe.turner@sgh.com.sg,1981-08-13,2,2,True,True,False,2024-01-01 14:00:00,2024-09-29 14:00:00,3,Chloe Turner
pbkdf2_sha256$600000$aKMfUZx7EY5W23jw4faY2q$r91KXeQxTfnGrgWEkm2QWfcABGDGLhMSiVbl5CAc2DQ=,2024-09-12 12:33:02.956434+03,False,39,dylan.edwards@sgh.com.sg,1963-10-02,1,3,True,True,False,2024-01-01 15:00:00,2024-09-30 15:00:00,3,Dylan Edwards
